Title,Authors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Supplement,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Avg per Year Since Publication,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Community Commerce: Facilitating Trust in Mom-to-Mom Sale Groups on Facebook,"Moser, Carol; Resnick, Paul; Schoenebeck, Sarita",,PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17),2017,2017,,,,4344,4357,,10.1145/3025453.3025550,ACM SIGCHI Conference on Human Factors in Computing Systems (CHI),"MAY 06-11, 2017",31,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,7,5,5,0
No Such Thing as Too Much Chocolate: Evidence Against Choice Overload in E-Commerce,"Moser, Carol; Phelan, Chanda; Resnick, Paul; Schoenebeck, Sarita; Reinecke, Katharina",,PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17),2017,2017,,,,4358,4369,,10.1145/3025453.3025778,ACM SIGCHI Conference on Human Factors in Computing Systems (CHI),"MAY 06-11, 2017",5,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
Extractive Adversarial Networks: High-Recall Explanations for Identifying Personal Attacks in Social Media Posts,"Carton, Samuel; Mei, Qiaozhu; Resnick, Paul",,2018 CONFERENCE ON EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING (EMNLP 2018),2018,2018,,,,3497,3507,,,Conference on Empirical Methods in Natural Language Processing (EMNLP),"OCT 31-NOV 04, 2018",15,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,0,2
Impulse Buying: Design Practices and Consumer Needs,"Moser, Carol; Schoenebeck, Sarita; Resnick, Paul",,CHI 2019: PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2019,2019,,,,,,,10.1145/3290605.3300472,CHI Conference on Human Factors in Computing Systems (CHI),"MAY 04-09, 2019",26,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,10,3
"A Spaced, Interleaved Retrieval Practice Tool that is Motivating and Effective","YeckehZaare, Iman; Resnick, Paul; Ericson, Barbara",,ICER '19 - PROCEEDINGS OF THE 2019 ACM CONFERENCE ON INTERNATIONAL COMPUTING EDUCATION RESEARCH,2019,2019,,,,71,79,,10.1145/3291279.3339411,15th ACM Annual International Computing Education Research (ICER) Conference,"AUG 12-14, 2019",17,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,3,2
Speed and Studying: Gendered Pathways to Success,"YeckehZaare, Iman; Resnick, Paul",,SIGCSE '19: PROCEEDINGS OF THE 50TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION,2019,2019,,,,693,698,,10.1145/3287324.3287417,50th ACM-SIGCSE Technical Symposium on Computer Science Education (SIGCSE),"FEB 27-MAR 02, 2019",3,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Some Prior(s) Experience Necessary Templates for Getting Started with Bayesian Analysis,"Phelan, Chanda; Hullman, Jessica; Kay, Matthew; Resnick, Paul",,CHI 2019: PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2019,2019,,,,,,,10.1145/3290605.3300709,CHI Conference on Human Factors in Computing Systems (CHI),"MAY 04-09, 2019",2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QMaps: Engaging Students in Voluntary Question Generation and Linking,"Yeckehzaare, Iman; Barghi, Tirdad; Resnick, Paul",,PROCEEDINGS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'20),2020,2020,,,,,,753,10.1145/3313831.3376882,CHI Conference on Human Factors in Computing Systems (CHI),"APR 25-30, 2020",7,1.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
The shape of educational inequality,"Quarles, Christopher L.; Budak, Ceren; Resnick, Paul",,SCIENCE ADVANCES,JUL 2020,2020,6,29,,,,eaaz5954,10.1126/sciadv.aaz5954,,,7,1.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2
Semester-level Spacing but Not Procrastination Affected Student Exam Performance,"YeckehZaare, Iman; Mulligan, Victoria; Ramstad, Grace; Resnick, Paul",,LAK22 CONFERENCE PROCEEDINGS: THE TWELFTH INTERNATIONAL CONFERENCE ON LEARNING ANALYTICS & KNOWLEDGE,2022,2022,,,,304,314,,10.1145/3506860.3506907,12th Annual International Conference on Learning Analytics and Knowledge (LAK),"MAR 21-25, 2022",1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SI 506 rocks,"Whyte, Anthony; Resnick, Paul",,TEST RECORD,SEP 2024,2024,59,11,,94,102,,10.1145/2891406,,,1897,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,15,13,18,13,11,5
